,phase
0,1
1,1
2,1
3,2
4,2
5,2
6,2
7,3
8,3
9,3
10,4
11,4
12,4
13,5
14,5
15,5
16,6
17,6
18,6
19,7
20,7
21,7
22,8
23,8
24,8
25,1
26,1
27,1
28,2
29,2
30,2
31,3
32,3
33,3
34,4
35,4
36,4
37,4
38,5
39,5
40,5
41,6
42,6
43,6
44,7
45,7
46,7
47,8
48,8
49,8
50,1
51,1
52,1
53,2
54,2
55,2
56,3
57,3
58,3
59,4
60,4
61,4
62,5
63,5
64,5
65,6
66,6
67,6
68,6
69,7
70,7
71,7
72,8
73,8
74,8
75,1
76,1
77,1
78,2
79,2
80,2
81,3
82,3
83,3
84,4
85,4
86,4
87,5
88,5
89,5
90,6
91,6
92,6
93,7
94,7
95,7
96,8
97,8
98,8
99,8
100,1
101,1
102,1
103,2
104,2
105,2
106,3
107,3
108,3
109,4
110,4
111,4
112,5
113,5
114,5
115,6
116,6
117,6
118,7
119,7
120,7
121,8
122,8
123,8
124,1
125,1
126,1
127,2
128,2
129,2
130,2
131,3
132,3
133,3
134,4
135,4
136,4
137,5
138,5
139,5
140,6
141,6
142,6
143,7
144,7
145,7
146,8
147,8
148,8
149,1
150,1
151,1
152,2
153,2
154,2
155,3
156,3
157,3
158,4
159,4
160,4
161,4
162,5
163,5
164,5
165,6
166,6
167,6
168,7
169,7
170,7
171,8
172,8
173,8
174,1
175,1
176,1
177,2
178,2
179,2
180,3
181,3
182,3
183,4
184,4
185,4
186,5
187,5
188,5
189,6
190,6
191,6
192,6
193,7
194,7
195,7
196,8
197,8
198,8
199,1
200,1
201,1
202,2
203,2
204,2
205,3
206,3
207,3
208,4
209,4
210,4
211,5
212,5
213,5
214,6
215,6
216,6
217,7
218,7
219,7
220,8
221,8
222,8
223,8
224,1
225,1
226,1
227,2
228,2
229,2
230,3
231,3
232,3
233,4
234,4
235,4
236,5
237,5
238,5
239,6
240,6
241,6
242,7
243,7
244,7
245,8
246,8
247,8
248,1
249,1
250,1
251,2
252,2
253,2
254,2
255,3
256,3
257,3
258,4
259,4
260,4
261,5
262,5
263,5
264,6
265,6
266,6
267,7
268,7
269,7
270,8
271,8
272,8
273,1
274,1
275,1
276,2
277,2
278,2
279,3
280,3
281,3
282,4
283,4
284,4
285,4
286,5
287,5
288,5
289,6
290,6
291,6
292,7
293,7
294,7
295,8
296,8
297,8
298,1
299,1
300,1
301,2
302,2
303,2
304,3
305,3
306,3
307,4
308,4
309,4
310,5
311,5
312,5
313,6
314,6
315,6
316,6
317,7
318,7
319,7
320,8
321,8
322,8
323,1
324,1
325,1
326,2
327,2
328,2
329,3
330,3
331,3
332,4
333,4
334,4
335,5
336,5
337,5
338,6
339,6
340,6
341,7
342,7
343,7
344,8
345,8
346,8
347,8
348,1
349,1
350,1
351,2
352,2
353,2
354,3
355,3
356,3
357,4
358,4
359,4
360,5
361,5
362,5
363,6
364,6
365,6
366,7
367,7
368,7
369,8
370,8
371,8
372,1
373,1
374,1
375,2
376,2
377,2
378,2
379,3
380,3
381,3
382,4
383,4
384,4
385,5
386,5
387,5
388,6
389,6
390,6
391,7
392,7
393,7
394,8
395,8
396,8
397,1
398,1
399,1
400,2
401,2
402,2
403,3
404,3
405,3
406,4
407,4
408,4
409,4
410,5
411,5
412,5
413,6
414,6
415,6
416,7
417,7
418,7
419,8
420,8
421,8
422,1
423,1
424,1
425,2
426,2
427,2
428,3
429,3
430,3
431,4
432,4
433,4
434,5
435,5
436,5
437,6
438,6
439,6
440,6
441,7
442,7
443,7
444,8
445,8
446,8
447,1
448,1
449,1
450,2
451,2
452,2
453,3
454,3
455,3
456,4
457,4
458,4
459,5
460,5
461,5
462,6
463,6
464,6
465,7
466,7
467,7
468,8
469,8
470,8
471,8
472,1
473,1
474,1
475,2
476,2
477,2
478,3
479,3
480,3
481,4
482,4
483,4
484,5
485,5
486,5
487,6
488,6
489,6
490,7
491,7
492,7
493,8
494,8
495,8
496,1
497,1
498,1
499,2
